Index,sentiment,binary_value,sentiment:confidence,text,tokens ,Column12
n1228,5,1,1,rt  why apple  is poised to have a record breaking holiday season  aapl  aapl \n,"[\'rt\', \'why\', \'apple\', \'is\', \'poised\', \'to\', \'have\', \'a\', \'record\', \'breaking\', \'holiday\', \'season\', \'aapl\', \'aapl\'] ",
n1229,1,0,1," why is your nyc grand central store so bad when it comes to service? 14th street is much, much better   ","[\'why\', \'is\', \'your\', \'nyc\', \'grand\', \'central\', \'store\', \'so\', \'bad\', \'when\', \'it\', \'comes\', \'to\', \'service\', \'14th\', \'street\', \'is\', \'much\', \'much\', \'better\'] ",
n1230,3,1,0.8578, onthisdayindigital  signed a deal with china today in 2013 to finally sell  iphones in the country ,"[\'onthisdayindigital\', \'signed\', \'a\', \'deal\', \'with\', \'china\', \'today\', \'in\', \'2013\', \'to\', \'finally\', \'sell\', \'iphones\', \'in\', \'the\', \'country\'] ",
n1231,3,1,0.659,"kantar  iphone 6 helps apple gain share over android, iphone 5c outselling iphone 6 plus in us  aapl  aapl \n","[\'kantar\', \'iphone\', \'6\', \'helps\', \'apple\', \'gain\', \'share\', \'over\', \'android\', \'iphone\', \'5c\', \'outselling\', \'iphone\', \'6\', \'plus\', \'in\', \'us\', \'aapl\', \'aapl\'] ",
n1232,5,1,1," iphone6 sales success gives    apple  best ever uk market position  ( thursday, 4  december) ","[\'iphone6\', \'sales\', \'success\', \'gives\', \'apple\', \'best\', \'ever\', \'uk\', \'market\', \'position\', \'thursday\', \'4\', \'december\'] ",
n1233,1,0,1,fuck you  my phone has been searching for service for almost a complete day,"[\'fuck\', \'you\', \'my\', \'phone\', \'has\', \'been\', \'searching\', \'for\', \'service\', \'for\', \'almost\', \'a\', \'complete\', \'day\'] ",
n1234,3,1,0.918,apple   fibonacci technicals levels   intraday   pre opening  aapl  aapl \n,"[\'apple\', \'fibonacci\', \'technicals\', \'levels\', \'intraday\', \'pre\', \'opening\', \'aapl\', \'aapl\'] ",
n1235,1,0,1,rt  even more reason for  to stop using benzene in its manufacturing  \n \n,"[\'rt\', \'even\', \'more\', \'reason\', \'for\', \'to\', \'stop\', \'using\', \'benzene\', \'in\', \'its\', \'manufacturing\'] ",
n1236,3,1,0.6961,"you didnt imagine it  when  ipod users synced with  itunes,   deleted any  songs bought elsewhere  ","[\'you\', \'didnt\', \'imagine\', \'it\', \'when\', \'ipod\', \'users\', \'synced\', \'with\', \'itunes\', \'deleted\', \'any\', \'songs\', \'bought\', \'elsewhere\'] ",
n1237,5,1,1,  greatservice thanks for helping me out   sylvester,"[\'greatservice\', \'thanks\', \'for\', \'helping\', \'me\', \'out\', \'sylvester\'] ",
n1238,1,0,1,ive been waiting 2 months for my iphone 6  what the fuck  ,"[\'ive\', \'been\', \'waiting\', \'2\', \'months\', \'for\', \'my\', \'iphone\', \'6\', \'what\', \'the\', \'fuck\'] ",
n1239,3,1,1,apple details an elaborate transit navigation system in patent applications  aapl  aapl \n,"[\'apple\', \'details\', \'an\', \'elaborate\', \'transit\', \'navigation\', \'system\', \'in\', \'patent\', \'applications\', \'aapl\', \'aapl\'] ",
n1240,3,1,1," iphone6c release date,  rumours and  leaked images   will    apple  release a      ( thursday, 4  december) ","[\'iphone6c\', \'release\', \'date\', \'rumours\', \'and\', \'leaked\', \'images\', \'will\', \'apple\', \'release\', \'a\', \'thursday\', \'4\', \'december\'] ",
n1241,3,1,0.6635,refusal of   tm application for app store upheld by australian federal court  apple can appeal  ,"[\'refusal\', \'of\', \'tm\', \'application\', \'for\', \'app\', \'store\', \'upheld\', \'by\', \'australian\', \'federal\', \'court\', \'apple\', \'can\', \'appeal\'] ",
n1242,1,0,1, is way better than ,"[\'is\', \'way\', \'better\', \'than\'] ",
n1243,3,1,1,apple   fibonacci technicals levels   intraday  update    aapl  aapl  \n,"[\'apple\', \'fibonacci\', \'technicals\', \'levels\', \'intraday\', \'update\', \'aapl\', \'aapl\'] ",
n1244,1,0,0.5211,block trade detected in  aapl,"[\'block\', \'trade\', \'detected\', \'in\', \'aapl\'] ",
n1245,1,0,0.6425,i truly feel   apple needs to do more with itunes match to make it worth it ,"[\'i\', \'truly\', \'feel\', \'apple\', \'needs\', \'to\', \'do\', \'more\', \'with\', \'itunes\', \'match\', \'to\', \'make\', \'it\', \'worth\', \'it\'] ",
n1246,3,1,1,heres  next great  business! what will be apples primary source of revenue in 2015?   service  company,"[\'heres\', \'next\', \'great\', \'business\', \'what\', \'will\', \'be\', \'apples\', \'primary\', \'source\', \'of\', \'revenue\', \'in\', \'2015\', \'service\', \'company\'] ",
n1247,3,1,0.6792,you can finally get your  iphone6 or iphone 6  plus from  apple within a week via   aapl ,"[\'you\', \'can\', \'finally\', \'get\', \'your\', \'iphone6\', \'or\', \'iphone\', \'6\', \'plus\', \'from\', \'apple\', \'within\', \'a\', \'week\', \'via\', \'aapl\'] ",
n1248,1,0,0.6635,is this happening on your  itunes account?  is secretly deleting your non itunes music  ,"[\'is\', \'this\', \'happening\', \'on\', \'your\', \'itunes\', \'account\', \'is\', \'secretly\', \'deleting\', \'your\', \'non\', \'itunes\', \'music\'] ",
n1249,3,1,0.6578,"an alabama anti discrimination bill will have ceo tim cook as its namesake, though  was initially hesitant  ","[\'an\', \'alabama\', \'anti\', \'discrimination\', \'bill\', \'will\', \'have\', \'ceo\', \'tim\', \'cook\', \'as\', \'its\', \'namesake\', \'though\', \'was\', \'initially\', \'hesitant\'] ",
n1250,3,1,0.6575, aapl after years of losses apple is finally clawing back some market share    ,"[\'aapl\', \'after\', \'years\', \'of\', \'losses\', \'apple\', \'is\', \'finally\', \'clawing\', \'back\', \'some\', \'market\', \'share\'] ",
n1251,5,1,0.6667,"from afternoon tea to   ipadair2, there is something for everyone with  touchpoint rewards    visit  more info","[\'from\', \'afternoon\', \'tea\', \'to\', \'ipadair2\', \'there\', \'is\', \'something\', \'for\', \'everyone\', \'with\', \'touchpoint\', \'rewards\', \'visit\', \'more\', \'info\'] ",
n1252,1,0,1,"hey  fuck you for thinking i want text messages to pop up on my computer, ipad and phone    thisiswhypeoplegetmurdered","[\'hey\', \'fuck\', \'you\', \'for\', \'thinking\', \'i\', \'want\', \'text\', \'messages\', \'to\', \'pop\', \'up\', \'on\', \'my\', \'computer\', \'ipad\', \'and\', \'phone\', \'thisiswhypeoplegetmurdered\'] ",
n1253,3,1,1,apple intraday comments   updated range   premium users   aapl  stockaction  trading  stocks  mkt \n,"[\'apple\', \'intraday\', \'comments\', \'updated\', \'range\', \'premium\', \'users\', \'aapl\', \'stockaction\', \'trading\', \'stocks\', \'mkt\'] ",
n1254,1,0,0.6731,"if you offer  feedback on their messaging program, the webpage is from ichat (so like 2010)  ","[\'if\', \'you\', \'offer\', \'feedback\', \'on\', \'their\', \'messaging\', \'program\', \'the\', \'webpage\', \'is\', \'from\', \'ichat\', \'so\', \'like\', \'2010\'] ",
n1255,3,1,0.6722,apple   fibonacci technicals levels   intraday  update    aapl  aapl  \n,"[\'apple\', \'fibonacci\', \'technicals\', \'levels\', \'intraday\', \'update\', \'aapl\', \'aapl\'] ",
n1256,1,0,1, you are loosing all the things that used to make you so much better to live with than windows,"[\'you\', \'are\', \'loosing\', \'all\', \'the\', \'things\', \'that\', \'used\', \'to\', \'make\', \'you\', \'so\', \'much\', \'better\', \'to\', \'live\', \'with\', \'than\', \'windows\'] ",
n1257,3,1,1,apple intraday comments   updated  range   premium users   aapl  stockaction  trading  stocks  mkt \n,"[\'apple\', \'intraday\', \'comments\', \'updated\', \'range\', \'premium\', \'users\', \'aapl\', \'stockaction\', \'trading\', \'stocks\', \'mkt\'] ",
n1258,1,0,1,i dont undestand how   creditcare website doesnt work on  prod had to request paper bills  whatyearisit  poorcustomerservice,"[\'i\', \'dont\', \'undestand\', \'how\', \'creditcare\', \'website\', \'doesnt\', \'work\', \'on\', \'prod\', \'had\', \'to\', \'request\', \'paper\', \'bills\', \'whatyearisit\', \'poorcustomerservice\'] ",
n1259,3,1,1,apple inc  deleted non itunes music off ipods   aapl,"[\'apple\', \'inc\', \'deleted\', \'non\', \'itunes\', \'music\', \'off\', \'ipods\', \'aapl\'] ",
n1260,3,1,0.6509, aapl bloomberg law brief  antitrust suit against apple (audio)   ,"[\'aapl\', \'bloomberg\', \'law\', \'brief\', \'antitrust\', \'suit\', \'against\', \'apple\', \'audio\'] ",
n1261,5,1,0.6801,"congrats  rt  fda cleared, smartphone connected thermometer  stores!  ","[\'congrats\', \'rt\', \'fda\', \'cleared\', \'smartphone\', \'connected\', \'thermometer\', \'stores\'] ",
n1262,1,0,0.5411,block trade detected in  aapl,"[\'block\', \'trade\', \'detected\', \'in\', \'aapl\'] ",
n1263,5,1,1, share of uk smartphone sales soared to 39 5  in the 3 months to october thanks to  iphone6 launch,"[\'share\', \'of\', \'uk\', \'smartphone\', \'sales\', \'soared\', \'to\', \'39\', \'5\', \'in\', \'the\', \'3\', \'months\', \'to\', \'october\', \'thanks\', \'to\', \'iphone6\', \'launch\'] ",
n1264,3,1,1,"apple wants to make your commute much easier, according to this new patent  aapl  aapl \n","[\'apple\', \'wants\', \'to\', \'make\', \'your\', \'commute\', \'much\', \'easier\', \'according\', \'to\', \'this\', \'new\', \'patent\', \'aapl\', \'aapl\'] ",
n1265,3,1,0.6613,tim  cooks  100 billion mistake  aapl  ,"[\'tim\', \'cooks\', \'100\', \'billion\', \'mistake\', \'aapl\'] ",
n1266,3,1,1,apple intraday comments   new range   premium users   aapl  stockaction  trading  stocks  mkt \n,"[\'apple\', \'intraday\', \'comments\', \'new\', \'range\', \'premium\', \'users\', \'aapl\', \'stockaction\', \'trading\', \'stocks\', \'mkt\'] ",
n1267,3,1,1," apple wants to make your commute much easier, according to this new patent  aapl  ","[\'apple\', \'wants\', \'to\', \'make\', \'your\', \'commute\', \'much\', \'easier\', \'according\', \'to\', \'this\', \'new\', \'patent\', \'aapl\'] ",
n1268,3,1,0.6661,a developer perfectly summed up the limitations of the  applewatch  aapl  ,"[\'a\', \'developer\', \'perfectly\', \'summed\', \'up\', \'the\', \'limitations\', \'of\', \'the\', \'applewatch\', \'aapl\'] ",
n1269,3,1,1,here are the main differences between  apple  carplay and  androidauto  aapl  goog  ,"[\'here\', \'are\', \'the\', \'main\', \'differences\', \'between\', \'apple\', \'carplay\', \'and\', \'androidauto\', \'aapl\', \'goog\'] ",
n1270,3,1,0.7906,apple   fibonacci technicals levels   intraday  update    aapl  aapl  \n,"[\'apple\', \'fibonacci\', \'technicals\', \'levels\', \'intraday\', \'update\', \'aapl\', \'aapl\'] ",
n1271,3,1,0.6876,why is there no salt shaker emoji  ,"[\'why\', \'is\', \'there\', \'no\', \'salt\', \'shaker\', \'emoji\'] ",
n1272,3,1,1,details of the  apple inc   ipadmini4 revealed   the motley fool  aapl ,"[\'details\', \'of\', \'the\', \'apple\', \'inc\', \'ipadmini4\', \'revealed\', \'the\', \'motley\', \'fool\', \'aapl\'] ",
n1273,1,0,1,okay so now the sound to my phone is messed up  i really think youre doing this on purpose ,"[\'okay\', \'so\', \'now\', \'the\', \'sound\', \'to\', \'my\', \'phone\', \'is\', \'messed\', \'up\', \'i\', \'really\', \'think\', \'youre\', \'doing\', \'this\', \'on\', \'purpose\'] ",
n1274,3,1,1,"how competition between  wireless carriers benefits  apple, inc    the motley fool  aapl ","[\'how\', \'competition\', \'between\', \'wireless\', \'carriers\', \'benefits\', \'apple\', \'inc\', \'the\', \'motley\', \'fool\', \'aapl\'] ",
n1275,1,0,1,what the hell is this    glitches ,"[\'what\', \'the\', \'hell\', \'is\', \'this\', \'glitches\'] ",
n1276,3,1,1,apple ceo tim cook comes out as gay      via ,"[\'apple\', \'ceo\', \'tim\', \'cook\', \'comes\', \'out\', \'as\', \'gay\', \'via\'] ",
n1277,1,0,1,"rt  11am and 20  battery  die, ","[\'rt\', \'11am\', \'and\', \'20\', \'battery\', \'die\'] ",
n1278,3,1,0.6659,  can you guys look into iphone 6 dropping ringtones?     i was told  has been working on problem for 4 weeks now!,"[\'can\', \'you\', \'guys\', \'look\', \'into\', \'iphone\', \'6\', \'dropping\', \'ringtones\', \'i\', \'was\', \'told\', \'has\', \'been\', \'working\', \'on\', \'problem\', \'for\', \'4\', \'weeks\', \'now\'] ",
n1279,5,1,0.6646, apple inc  to have an explosive quarter  jmp analyst  aapl ,"[\'apple\', \'inc\', \'to\', \'have\', \'an\', \'explosive\', \'quarter\', \'jmp\', \'analyst\', \'aapl\'] ",
n1280,5,1,0.5126,how an svn connection led to safer conditions for  workforce   ,"[\'how\', \'an\', \'svn\', \'connection\', \'led\', \'to\', \'safer\', \'conditions\', \'for\', \'workforce\'] ",
n1281,3,1,0.4678,rt  how an svn connection led to safer conditions for  workforce   ,"[\'rt\', \'how\', \'an\', \'svn\', \'connection\', \'led\', \'to\', \'safer\', \'conditions\', \'for\', \'workforce\'] ",
n1282,3,1,1,steve wozniak discusses apples early days and working with steve jobs  mac blog    aapl,"[\'steve\', \'wozniak\', \'discusses\', \'apples\', \'early\', \'days\', \'and\', \'working\', \'with\', \'steve\', \'jobs\', \'mac\', \'blog\', \'aapl\'] ",
n1283,3,1,0.6759," aapl john sculley pans apple watch, loves apple pay   ","[\'aapl\', \'john\', \'sculley\', \'pans\', \'apple\', \'watch\', \'loves\', \'apple\', \'pay\'] ",
n1284,5,1,0.6821,how apple  is crushing google  on mobile shopping   aapl  aapl \n,"[\'how\', \'apple\', \'is\', \'crushing\', \'google\', \'on\', \'mobile\', \'shopping\', \'aapl\', \'aapl\'] ",
n1285,3,1,1," iphone6,  6 plus trigger spike in    apple  sales worldwide  ( thursday, 4  december) ","[\'iphone6\', \'6\', \'plus\', \'trigger\', \'spike\', \'in\', \'apple\', \'sales\', \'worldwide\', \'thursday\', \'4\', \'december\'] ",
n1286,1,0,0.7119,what are you talking about  i back it up all the time ,"[\'what\', \'are\', \'you\', \'talking\', \'about\', \'i\', \'back\', \'it\', \'up\', \'all\', \'the\', \'time\'] ",
n1287,3,1,1,"steve  wozniak on  apple, the computer revolution, and working with  stevejobs   businessweek  aapl ","[\'steve\', \'wozniak\', \'on\', \'apple\', \'the\', \'computer\', \'revolution\', \'and\', \'working\', \'with\', \'stevejobs\', \'businessweek\', \'aapl\'] ",
n1288,3,1,0.6536,4 star analyst alex gauna from jmp securities rated  aapl w a buy  alex has a 63  success rate   nasdaq  stocks  aapl,"[\'4\', \'star\', \'analyst\', \'alex\', \'gauna\', \'from\', \'jmp\', \'securities\', \'rated\', \'aapl\', \'w\', \'a\', \'buy\', \'alex\', \'has\', \'a\', \'63\', \'success\', \'rate\', \'nasdaq\', \'stocks\', \'aapl\'] ",
n1289,3,1,0.5353, aapl iphone 6 manufacturing costs show huge profit potential  aapl ,"[\'aapl\', \'iphone\', \'6\', \'manufacturing\', \'costs\', \'show\', \'huge\', \'profit\', \'potential\', \'aapl\'] ",
n1290,3,1,0.7244,sketchy rumor claims apple planning new 4 inch iphone for 2015   aapl,"[\'sketchy\', \'rumor\', \'claims\', \'apple\', \'planning\', \'new\', \'4\', \'inch\', \'iphone\', \'for\', \'2015\', \'aapl\'] ",
n1291,5,1,0.6591, aapl beacons hit stores ahead of holidays   ,"[\'aapl\', \'beacons\', \'hit\', \'stores\', \'ahead\', \'of\', \'holidays\'] ",
n1292,3,1,0.7201,"trade  aapl  free nightly updates are  posted here on  twitter, or you can visit the  trade  aapl free  website here ","[\'trade\', \'aapl\', \'free\', \'nightly\', \'updates\', \'are\', \'posted\', \'here\', \'on\', \'twitter\', \'or\', \'you\', \'can\', \'visit\', \'the\', \'trade\', \'aapl\', \'free\', \'website\', \'here\'] ",
n1293,5,1,0.6464,rt  how an svn connection led to safer conditions for  workforce   ,"[\'rt\', \'how\', \'an\', \'svn\', \'connection\', \'led\', \'to\', \'safer\', \'conditions\', \'for\', \'workforce\'] ",
n1294,1,0,0.6527,block trade detected in  aapl,"[\'block\', \'trade\', \'detected\', \'in\', \'aapl\'] ",
n1295,3,1,1," aapl rt  alex gauna flips his apple bit, sets street high target of  150 ","[\'aapl\', \'rt\', \'alex\', \'gauna\', \'flips\', \'his\', \'apple\', \'bit\', \'sets\', \'street\', \'high\', \'target\', \'of\', \'150\'] ",
n1296,3,1,1,that moment everytime when walk out of  after purchase  amp  receipt is emailed  amp  think getting stopped or not  miniheartattack ,"[\'that\', \'moment\', \'everytime\', \'when\', \'walk\', \'out\', \'of\', \'after\', \'purchase\', \'amp\', \'receipt\', \'is\', \'emailed\', \'amp\', \'think\', \'getting\', \'stopped\', \'or\', \'not\', \'miniheartattack\'] ",
n1297,5,1,0.6879,my new mbp is freaking awesome   apple  macbookpro  lovingit,"[\'my\', \'new\', \'mbp\', \'is\', \'freaking\', \'awesome\', \'apple\', \'macbookpro\', \'lovingit\'] ",
n1298,5,1,0.6618," aapl shorting apple at 116    love the company, love their products, everybody admires apple, but the capitalization is way too wild ","[\'aapl\', \'shorting\', \'apple\', \'at\', \'116\', \'love\', \'the\', \'company\', \'love\', \'their\', \'products\', \'everybody\', \'admires\', \'apple\', \'but\', \'the\', \'capitalization\', \'is\', \'way\', \'too\', \'wild\'] ",
n1299,1,0,0.6661, wtf  fix this,"[\'wtf\', \'fix\', \'this\'] ",
n1300,3,1,1,  thats not their twitter oh,"[\'thats\', \'not\', \'their\', \'twitter\', \'oh\'] ",
n1301,5,1,1,"thestreet   cramer says buy mapple, as  avago techs earnings hint at big demand  avgo  aapl ","[\'thestreet\', \'cramer\', \'says\', \'buy\', \'mapple\', \'as\', \'avago\', \'techs\', \'earnings\', \'hint\', \'at\', \'big\', \'demand\', \'avgo\', \'aapl\'] ",
n1302,3,1,1,  do they edn have a twitter,"[\'do\', \'they\', \'edn\', \'have\', \'a\', \'twitter\'] ",
n1303,1,0,1,  i domt think so,"[\'i\', \'domt\', \'think\', \'so\'] ",
n1304,3,1,0.5104,  well they should have a twitter,"[\'well\', \'they\', \'should\', \'have\', \'a\', \'twitter\'] ",
n1305,3,1,1,apple   fibonacci technicals levels   intraday  update    aapl  aapl  \n,"[\'apple\', \'fibonacci\', \'technicals\', \'levels\', \'intraday\', \'update\', \'aapl\', \'aapl\'] ",
n1306,3,1,1,  apple support have a twitter i think,"[\'apple\', \'support\', \'have\', \'a\', \'twitter\', \'i\', \'think\'] ",
n1307,1,0,0.6669,apple named 10th most disruptive idea in the past 85 years by businessweek  aapl  aapl \n,"[\'apple\', \'named\', \'10th\', \'most\', \'disruptive\', \'idea\', \'in\', \'the\', \'past\', \'85\', \'years\', \'by\', \'businessweek\', \'aapl\', \'aapl\'] ",
n1308,3,1,0.7201, the amazon enigma   aapl  amzn  baba  ecommerce  econsumerism  financial  news,"[\'the\', \'amazon\', \'enigma\', \'aapl\', \'amzn\', \'baba\', \'ecommerce\', \'econsumerism\', \'financial\', \'news\'] ",
n1309,1,0,0.6884,rt  apple named 10th most disruptive idea in the past 85 years by businessweek  aapl  aapl \n,"[\'rt\', \'apple\', \'named\', \'10th\', \'most\', \'disruptive\', \'idea\', \'in\', \'the\', \'past\', \'85\', \'years\', \'by\', \'businessweek\', \'aapl\', \'aapl\'] ",
n1310,3,1,1,the 19 year old  wizkid who turned down  has nabbed backing from a  hollywood star ,"[\'the\', \'19\', \'year\', \'old\', \'wizkid\', \'who\', \'turned\', \'down\', \'has\', \'nabbed\', \'backing\', \'from\', \'a\', \'hollywood\', \'star\'] ",
n1311,1,0,0.6754, peroquemorro !!!! lawyers say  ipods deleted songs not purchased from   via ,"[\'peroquemorro\', \'lawyers\', \'say\', \'ipods\', \'deleted\', \'songs\', \'not\', \'purchased\', \'from\', \'via\'] ",
n1312,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1313,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1314,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1315,3,1,0.7089,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1316,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1317,3,1,0.7039,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1318,3,1,0.8083,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1319,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1320,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1321,3,1,1,is apple the most important stock on earth?    aapl ,"[\'is\', \'apple\', \'the\', \'most\', \'important\', \'stock\', \'on\', \'earth\', \'aapl\'] ",
n1322,3,1,0.4908,the 19 year old  wizkid who turned down  has nabbed backing from a  hollywood star ,"[\'the\', \'19\', \'year\', \'old\', \'wizkid\', \'who\', \'turned\', \'down\', \'has\', \'nabbed\', \'backing\', \'from\', \'a\', \'hollywood\', \'star\'] ",
n1323,5,1,0.6373," while  still dominates e commerce,  devices are grabbing market share  ","[\'while\', \'still\', \'dominates\', \'e\', \'commerce\', \'devices\', \'are\', \'grabbing\', \'market\', \'share\'] ",
n1324,1,0,1,i could really kick  s ass  this iphone 6 battery sucks moldy dick on a tuesday night ! worst shit ever  only last 4 fucking hours ,"[\'i\', \'could\', \'really\', \'kick\', \'s\', \'ass\', \'this\', \'iphone\', \'6\', \'battery\', \'sucks\', \'moldy\', \'dick\', \'on\', \'a\', \'tuesday\', \'night\', \'worst\', \'shit\', \'ever\', \'only\', \'last\', \'4\', \'fucking\', \'hours\'] ",
n1325,1,0,1,disgusted with  advertising for the ipad air   falseadvertising  nono,"[\'disgusted\', \'with\', \'advertising\', \'for\', \'the\', \'ipad\', \'air\', \'falseadvertising\', \'nono\'] ",
n1326,3,1,1,square launches ios app for food delivery service caviar  ios blog    aapl,"[\'square\', \'launches\', \'ios\', \'app\', \'for\', \'food\', \'delivery\', \'service\', \'caviar\', \'ios\', \'blog\', \'aapl\'] ",
n1327,1,0,1,done with this iphone 6 plus apple or sprint giving me my bread back  trash ass phone full of fuck ups  ,"[\'done\', \'with\', \'this\', \'iphone\', \'6\', \'plus\', \'apple\', \'or\', \'sprint\', \'giving\', \'me\', \'my\', \'bread\', \'back\', \'trash\', \'ass\', \'phone\', \'full\', \'of\', \'fuck\', \'ups\'] ",
n1328,1,0,1,rt  done with this iphone 6 plus apple or sprint giving me my bread back  trash ass phone full of fuck ups  ,"[\'rt\', \'done\', \'with\', \'this\', \'iphone\', \'6\', \'plus\', \'apple\', \'or\', \'sprint\', \'giving\', \'me\', \'my\', \'bread\', \'back\', \'trash\', \'ass\', \'phone\', \'full\', \'of\', \'fuck\', \'ups\'] ",
n1329,3,1,0.6551,unlikely supply chain rumor suggests a 4 inch iphone model next year  aapl  aapl \n,"[\'unlikely\', \'supply\', \'chain\', \'rumor\', \'suggests\', \'a\', \'4\', \'inch\', \'iphone\', \'model\', \'next\', \'year\', \'aapl\', \'aapl\'] ",
n1330,3,1,1,wouldnt be a bad idea to bring back the tap to tweet function guys  ,"[\'wouldnt\', \'be\', \'a\', \'bad\', \'idea\', \'to\', \'bring\', \'back\', \'the\', \'tap\', \'to\', \'tweet\', \'function\', \'guys\'] ",
n1331,3,1,1,details of the apple inc  ipad mini 4 revealed   aapl,"[\'details\', \'of\', \'the\', \'apple\', \'inc\', \'ipad\', \'mini\', \'4\', \'revealed\', \'aapl\'] ",
n1332,3,1,0.6656,rt  wouldnt be a bad idea to bring back the tap to tweet function guys  ,"[\'rt\', \'wouldnt\', \'be\', \'a\', \'bad\', \'idea\', \'to\', \'bring\', \'back\', \'the\', \'tap\', \'to\', \'tweet\', \'function\', \'guys\'] ",
n1333,1,0,1," ay cuhz step your shit up,have a good phone with a real charger ready by february or we outro","[\'ay\', \'cuhz\', \'step\', \'your\', \'shit\', \'up\', \'have\', \'a\', \'good\', \'phone\', \'with\', \'a\', \'real\', \'charger\', \'ready\', \'by\', \'february\', \'or\', \'we\', \'outro\'] ",
n1334,1,0,1,an osx update just bricked my macbook pro!   fuck  ,"[\'an\', \'osx\', \'update\', \'just\', \'bricked\', \'my\', \'macbook\', \'pro\', \'fuck\'] ",
n1335,1,0,0.668, aapl a developer perfectly summed up the limitations of the apple watch   ,"[\'aapl\', \'a\', \'developer\', \'perfectly\', \'summed\', \'up\', \'the\', \'limitations\', \'of\', \'the\', \'apple\', \'watch\'] ",
n1336,3,1,1,   amp   at work  the enterprise challenge   julie m  anderson via   ,"[\'amp\', \'at\', \'work\', \'the\', \'enterprise\', \'challenge\', \'julie\', \'m\', \'anderson\', \'via\'] ",
n1337,3,1,0.6744,"the ceo of  warns wearables makers that tech needs productivity, not novelty like  siri  \n \n","[\'the\', \'ceo\', \'of\', \'warns\', \'wearables\', \'makers\', \'that\', \'tech\', \'needs\', \'productivity\', \'not\', \'novelty\', \'like\', \'siri\'] ",
n1338,1,0,0.6796,"the ceo of  warns wearables makers that tech needs productivity, not novelty like  siri  \n \n","[\'the\', \'ceo\', \'of\', \'warns\', \'wearables\', \'makers\', \'that\', \'tech\', \'needs\', \'productivity\', \'not\', \'novelty\', \'like\', \'siri\'] ",
n1339,3,1,1,when this  iwatch finna drop fam ,"[\'when\', \'this\', \'iwatch\', \'finna\', \'drop\', \'fam\'] ",
n1340,5,1,0.6544, aapl how apple inc (aapl) is crushing google inc (googl) on mobile shopping   ,"[\'aapl\', \'how\', \'apple\', \'inc\', \'aapl\', \'is\', \'crushing\', \'google\', \'inc\', \'googl\', \'on\', \'mobile\', \'shopping\'] ",
n1341,3,1,1,  next year,"[\'next\', \'year\'] ",
n1342,3,1,1,iphone 6 plus captures 41  phablet sales in the u s   aapl  aapl \n,"[\'iphone\', \'6\', \'plus\', \'captures\', \'41\', \'phablet\', \'sales\', \'in\', \'the\', \'u\', \'s\', \'aapl\', \'aapl\'] ",
n1343,3,1,1,1st quarter ? rt    next year,"[\'1st\', \'quarter\', \'rt\', \'next\', \'year\'] ",
n1344,3,1,0.7135,  i believe second or third my dear,"[\'i\', \'believe\', \'second\', \'or\', \'third\', \'my\', \'dear\'] ",
n1345,5,1,1,free s o  for this nice ipad,"[\'free\', \'s\', \'o\', \'for\', \'this\', \'nice\', \'ipad\'] ",
n1346,3,1,1,how many  products does it take to write a paper?  \n \nphoto credit  iphone ,"[\'how\', \'many\', \'products\', \'does\', \'it\', \'take\', \'to\', \'write\', \'a\', \'paper\', \'photo\', \'credit\', \'iphone\'] ",
n1347,3,1,0.6731,hopefully before my bday rt    i believe second or third my dear,"[\'hopefully\', \'before\', \'my\', \'bday\', \'rt\', \'i\', \'believe\', \'second\', \'or\', \'third\', \'my\', \'dear\'] ",
n1348,5,1,1,"  def gotta have it, i dont even like watches","[\'def\', \'gotta\', \'have\', \'it\', \'i\', \'dont\', \'even\', \'like\', \'watches\'] ",
n1349,3,1,1, on  the  customer  journey from  search to  checkout   cx  ux  ecommerce  casestudy,"[\'on\', \'the\', \'customer\', \'journey\', \'from\', \'search\', \'to\', \'checkout\', \'cx\', \'ux\', \'ecommerce\', \'casestudy\'] ",
